,Mexico City area,venustiano carranza,"san andres cholula, puebla, san pedro cholula, cuautlancingo, tlaxcala, atlixco, ocoyucan, coronango","zapopan, guadalajara, tlajomulco de zuniga, tlaquepaque, zapopan, jalisco, san pedro tlaquepaque, zapopan jalisco, guadalajara, jalisco, guadalajara jalisco, tlajomulco","monterrey, san pedro garza garcia, santa catarina, san nicolas de los garza, apodaca, guadalupe, garcia, general escobedo, monterrey, nuevo leon, monterrey nuevo leon, guadalupe, nuevo leon",queretaro,"benito juarez, cancun, playa del carmen, puerto morelos","merida, merida, yucatan, merida yucatan",san luis potosi,"leon, lopez mateos, leon, guanajuato","puerto vallarta, bahia de banderas","xalapa, veracruz",saltillo,"el marques, corregidora, santiago de queretaro, el marques, queretaro, corregidora, queretaro",aguascalientes,morelia,culiacan,chihuahua,"oaxaca de juarez, oaxaca",celaya,tulum,san miguel de allende,"pachuca, pachuca de soto, mineral de la reforma",tijuana,boca del rio,"colima, manzanillo, villa de alvarez",hermosillo,villahermosa,la paz,mazatlan,tuxtla gutierrez,"san jose del cabo, cabo san lucas",san juan del rio,puerto escondido,coatzacoalcos,"acapulco, acapulco de juarez",mexicali,"orizaba, cordoba",juarez,alvarado,tepic,tonala,durango,torreon,leon guanajuato,san cristobal de las casas,tampico,los mochis,cuautla,ensenada,tehuacan
"puerto vallarta, bahia de banderas",827.5,1727.29,944.7,285.55,1077.45,741.3,2415.23,2123.06,707.94,516.08,0.0,1109.72,984.12,673.76,501.38,592.6,629.86,1290.58,1291.63,620.25,2344.41,620.1,839.08,2167.83,1193.2,369.72,1301.89,1566.46,1068.26,423.95,1645.23,1250.42,722.56,1468.93,1407.69,953.66,1999.91,1090.93,1669.07,1257.46,152.6,1705.96,723.63,852.35,1734.69,1705.41,1063.63,824.24,164.35,2230.81,1069.47
"xalapa, veracruz",322.47,712.18,209.77,824.88,957.91,507.88,1400.13,1107.95,746.52,650.22,1106.14,0.0,1039.35,490.62,768.31,599.99,1509.18,1713.59,480.94,533.47,1329.3,544.36,304.77,3047.15,100.3,1041.88,2181.21,551.35,1947.59,1303.27,630.12,2129.74,442.56,658.24,392.58,588.92,2879.23,122.45,2092.08,153.47,1027.41,678.06,1292.8,1275.36,719.58,690.31,455.83,1703.57,1005.18,3110.13,258.77
saltillo,839.01,1651.3,956.71,704.47,91.1,700.8,2339.24,2047.06,392.51,622.68,985.73,1048.71,0.0,638.41,481.48,780.71,959.91,720.57,1303.64,680.69,2268.41,611.79,851.09,2281.52,1039.41,935.71,1631.94,1490.47,1398.32,754.01,1569.23,1580.48,677.3,1480.94,1331.69,1207.69,2092.68,1102.94,1099.06,1092.58,907.0,1717.97,571.84,255.59,1658.69,1629.42,587.4,1154.3,884.77,2319.21,1081.48
"el marques, corregidora, santiago de queretaro, el marques, queretaro, corregidora, queretaro",211.76,1112.04,329.46,394.41,704.63,73.77,1799.99,1507.81,265.93,178.28,675.67,494.47,637.1,0.0,296.37,221.67,1078.71,1241.65,676.38,61.53,1729.16,63.78,223.83,2616.68,577.96,625.65,1750.74,951.21,1517.12,872.81,1029.98,1699.28,50.04,853.68,792.44,580.44,2448.76,475.68,1620.14,642.22,596.94,1090.71,820.86,803.42,1119.44,1090.17,598.75,1273.1,574.71,2679.67,454.22
aguascalientes,490.5,1390.79,608.2,220.18,571.44,363.61,2078.73,1786.55,263.94,138.39,501.44,773.21,478.11,296.07,0.0,332.0,904.48,940.66,955.13,242.56,2007.9,242.41,502.58,2501.6,856.7,451.41,1576.51,1229.96,1342.88,698.57,1308.72,1525.04,344.87,1132.43,1071.18,859.18,2312.76,754.42,1319.14,920.96,422.7,1369.46,519.86,502.43,1398.18,1368.91,619.62,1098.86,400.48,2539.29,732.96
morelia,318.3,1218.09,435.5,310.59,847.73,286.45,1906.03,1613.85,409.03,213.38,591.85,600.51,780.2,218.92,331.47,0.0,994.89,1276.75,782.43,155.87,1835.2,207.95,329.88,2532.86,684.0,527.59,1666.92,1057.26,1433.29,788.98,1136.02,1615.45,199.96,959.73,898.49,572.34,2364.94,581.73,1655.24,748.26,513.11,1196.76,855.96,838.52,1225.49,1196.21,704.79,1189.27,490.89,2595.84,560.26
culiacan,1242.2,2141.99,1359.4,700.25,1061.73,1156.0,2829.93,2537.76,1122.64,930.78,644.41,1524.42,976.23,1088.46,916.08,1007.3,0.0,811.94,1706.33,1034.95,2759.11,1034.8,1253.78,1565.04,1607.9,900.59,699.1,1981.16,465.48,234.94,2059.93,647.64,1137.26,1883.63,1822.39,1453.34,1397.12,1505.63,1102.94,1672.16,495.43,2120.66,581.55,710.27,2149.39,2120.11,1478.32,221.46,737.56,1628.03,1484.17
chihuahua,1428.19,2328.48,1545.89,1157.87,798.88,1301.3,3016.42,2724.25,1077.12,1076.09,1280.95,1710.91,713.38,1233.77,934.89,1269.69,803.12,0.0,1892.82,1180.25,2945.6,1180.1,1440.27,1589.44,1794.39,1389.11,722.83,2167.65,1129.71,918.04,2246.42,1311.86,1282.56,2070.12,2008.88,1796.87,1400.6,1692.12,406.98,1858.65,1131.97,2307.15,643.04,454.48,2335.88,2306.6,1295.18,883.66,1338.17,1627.12,1670.66
"oaxaca de juarez, oaxaca",477.32,585.89,364.61,1011.03,1267.34,694.02,1486.14,1193.96,932.66,836.37,1292.29,481.87,1303.84,676.76,954.46,786.13,1695.33,1899.74,0.0,719.62,1415.31,730.51,490.92,3233.3,463.63,1228.03,2367.36,637.37,2133.73,1489.42,505.07,2315.89,628.71,206.0,478.6,604.6,3065.38,338.4,2278.23,504.94,1213.55,417.36,1478.95,1461.51,530.82,565.25,765.25,1889.71,1191.32,3296.28,228.0
celaya,253.51,1153.79,371.21,338.95,749.1,126.61,1841.74,1549.56,310.39,122.82,620.21,536.22,681.56,59.08,240.91,156.32,1023.25,1186.19,718.13,0.0,1770.91,51.96,265.58,2561.22,619.71,570.19,1695.28,992.96,1461.66,817.35,1071.73,1643.82,107.88,895.43,834.19,622.18,2393.3,517.43,1564.68,683.97,541.48,1132.46,765.4,747.96,1161.19,1131.91,640.5,1217.64,519.25,2624.21,495.97
tulum,1540.8,1031.71,1428.1,2074.51,2182.86,1757.51,136.18,229.76,1996.15,1899.86,2355.77,1334.03,2264.3,1740.25,2017.94,1849.62,2758.81,2963.22,1416.23,1783.11,0.0,1793.99,1554.4,4296.78,1252.63,2291.52,3430.84,779.7,3197.22,2552.91,1021.51,3379.38,1692.19,1490.26,945.41,1807.25,4128.86,1257.77,3422.29,1179.31,2277.04,1137.23,2542.43,2525.0,1110.97,970.07,1680.78,2953.2,2254.81,4359.77,1333.65
san miguel de allende,264.89,1165.18,382.6,339.51,680.79,126.69,1853.12,1560.95,242.09,110.9,620.77,547.61,613.26,64.43,241.46,208.39,1023.81,1186.74,729.52,51.93,1782.3,0.0,276.97,2561.78,631.09,570.74,1695.84,1004.35,1462.21,817.9,1083.12,1644.37,103.18,906.82,845.58,633.57,2393.86,528.82,1565.23,695.35,542.03,1143.85,765.95,748.52,1172.58,1143.3,651.89,1218.19,519.81,2624.76,507.36
"pachuca, pachuca de soto, mineral de la reforma",91.71,923.89,141.31,558.29,918.64,241.29,1611.84,1319.66,479.93,383.64,839.56,306.32,851.1,224.03,501.73,333.4,1242.59,1447.01,488.23,266.89,1541.01,277.78,0.0,2780.56,389.81,775.3,1914.62,763.06,1681.0,1036.69,841.83,1863.16,175.97,665.53,604.29,460.44,2612.64,287.53,1825.49,454.07,760.82,902.56,1026.21,1008.78,931.29,902.02,376.31,1436.98,738.59,2843.55,266.07
tijuana,2954.67,3854.46,3071.87,2412.72,2421.93,2868.46,4542.4,4250.22,2730.84,2643.25,2356.87,3236.88,2117.79,2800.93,2339.3,2719.77,1754.81,1418.81,3418.8,2747.41,4471.57,2747.26,2966.25,0.0,3320.37,2613.06,1053.05,3693.63,1482.37,1947.4,3772.39,1653.1,2849.73,3596.1,3534.85,3165.81,216.04,3218.09,1181.53,3384.63,2207.9,3833.13,1965.72,1858.89,3861.86,3832.58,2919.55,1542.3,2450.03,113.29,3196.63
